Ticker,Transaction_Score
MAS,-22.508437826675436
AMP,-22.586017383208652
EFX,-22.601326535247818
DUK,-22.745686827716405
CSGP,-22.77366349524479
DAL,-23.095613086008562
ROP,-23.166276256040554
MKTX,-23.283785839849994
REG,-23.39087110758527
CL,-23.43889748954808
CBRE,-23.59465607900346
PWR,-23.635918792253054
ROL,-23.885302257873988
CMG,-24.296598128497447
FTNT,-24.714417622054388
AMT,-24.872006249868083
AMAT,-24.874470868610793
ANSS,-24.97795062048155
MMC,-25.480966166618305
BMY,-25.92693603479722
MGM,-25.946516460402886
APO,-26.236895986334705
CPT,-26.596626059293033
TMO,-26.81144899376417
COF,-27.4308984410181
CB,-27.600780515060677
WAB,-27.601287704058254
CRWD,-27.63395247190477
STX,-27.73613189990216
WM,-27.770277726667654
TTWO,-27.862735705496046
TER,-28.24866932766248
TRMB,-28.96622180760141
URI,-28.976663844735914
MU,-29.461723365207735
TJX,-29.501114918289606
ABT,-29.60404497073582
STT,-29.733412256171974
EXR,-29.918134808534425
PYPL,-30.093008281936935
DELL,-30.22053055349437
SWKS,-30.570460547731294
MSCI,-30.716036895329477
GS,-30.71932345937018
RJF,-30.827121194810314
EBAY,-31.111658961822435
FICO,-31.161958496840093
KEYS,-31.18948000781777
CBOE,-31.274952745271253
A,-31.39009867175835
MS,-32.65614861548842
NUE,-32.70430347489406
LRCX,-32.78250666886299
COR,-32.79999228777777
MOH,-33.07930963673736
AEP,-33.082472513821436
PEG,-33.1365574798402
NDAQ,-33.25087095156057
TGT,-33.58033599822115
AMD,-33.80751036332339
APTV,-33.88953749022944
HPQ,-34.09852937355421
EPAM,-34.123980358922026
CI,-34.13011918891054
TRGP,-34.53655051607176
STZ,-34.63732133560567
MCK,-34.71298450498011
SLB,-35.030565639716826
AAPL,-35.17532218001687
QCOM,-35.80870721472513
HSIC,-35.91427127781165
AEE,-37.17008077703602
JNPR,-37.40512083048833
CTSH,-37.8457471893863
ADSK,-37.95506010023353
CRL,-38.18716335376111
MCHP,-38.33712070627905
HSY,-38.413245603717904
SO,-38.57536021811215
JPM,-38.72079056161933
ON,-39.75716974659166
ALGN,-39.987484691569314
GRMN,-39.9916134564166
ROST,-40.30566230667334
RCL,-40.5115336255824
FANG,-41.39201846082251
ADI,-41.622414319424955
HCA,-41.78728102807332
PH,-41.957853474363546
AXON,-42.25314222660116
GDDY,-42.36018939512558
NTAP,-42.58685576299806
WSM,-42.97881926805937
EL,-43.02605731423472
REGN,-43.30297209486118
LII,-43.85841493925857
ORLY,-44.762813840402636
ICE,-45.22351229562003
DFS,-45.2556770283784
GNRC,-45.42538684708828
K,-45.68501696189586
MA,-45.87584230507811
DECK,-47.11419078962794
UNH,-47.73895841373355
PAYC,-47.770901348080386
MCO,-48.17774007503543
NOC,-48.77768137057676
MAR,-48.89002516709672
BSX,-49.30613693027177
INTU,-50.02975308287739
SYK,-50.151130007511185
CME,-50.63034551509357
TYL,-52.28588849195727
AVGO,-53.407198789662026
FSLR,-55.01570599187673
CDNS,-55.72409526718592
COST,-58.73737114232541
BLK,-59.83163985146823
MSFT,-60.370835493148604
CSCO,-63.999202626925324
ENPH,-64.48799054910238
BKNG,-65.73438120788704
ADBE,-66.36323929381007
BBY,-67.33801239865701
PG,-67.68303509813575
AKAM,-67.7133940843837
SCHW,-70.2766158323799
IT,-74.00035021565125
EQIX,-75.44744010166099
FFIV,-76.27117705661415
NVDA,-78.22058295244233
DASH,-79.93708968724637
VRTX,-80.46170390600076
PGR,-84.30166599857385
ARE,-85.85615868354834
ACN,-88.0995237897023
JBL,-92.96046704089986
KLAC,-93.79957016632899
WDAY,-96.21790741945601
TSLA,-103.43425471607013
VRSN,-105.71655861220155
RMD,-112.58619812986899
NOW,-112.78377555128783
LLY,-114.78842189007867
GOOG,-116.99683264909604
ABNB,-135.08085457362964
AMZN,-140.42627807479778
ANET,-147.52663315697495
EA,-164.186110399037
PTC,-166.7699215745978
DXCM,-167.07412781435704
PANW,-168.06372968730736
MRNA,-212.7845976168813
WMT,-256.4988420892214
CRM,-261.4821759528447
MPWR,-315.7355245976212
